,Region,Year,pop_high,pop_low,pop_medium,pct_pop_high,pct_pop_low,pct_pop_medium
0,11,2010,1227854,1227854,1227854,0.4393872324223314,0.4393872324223314,0.4393872324223314
1,16,2010,67824,67824,67824,0.02427080064226871,0.02427080064226871,0.02427080064226871
2,2,2010,160510,160510,160510,0.05743846147514966,0.05743846147514966,0.05743846147514966
3,6,2010,1338281,1338281,1338281,0.47890350546025023,0.47890350546025023,0.47890350546025023
4,11,2011,1249865,1249865,1249865,0.4391335556408933,0.4391335556408933,0.4391335556408933
5,16,2011,71327,71327,71327,0.025060369818498796,0.025060369818498796,0.025060369818498796
6,2,2011,162039,162039,162039,0.05693155838630149,0.05693155838630149,0.05693155838630149
7,6,2011,1362976,1362976,1362976,0.47887451615430643,0.47887451615430643,0.47887451615430643
8,11,2012,1278541,1278541,1278541,0.4379665984531728,0.4379665984531728,0.4379665984531728
9,16,2012,74843,74843,74843,0.025637608905800295,0.025637608905800295,0.025637608905800295
10,2,2012,164123,164123,164123,0.056220639023644985,0.056220639023644985,0.056220639023644985
11,6,2012,1401759,1401759,1401759,0.4801751536173819,0.4801751536173819,0.4801751536173819
12,11,2013,1316952,1316952,1316952,0.4374017719901211,0.4374017719901211,0.4374017719901211
13,16,2013,78892,78892,78892,0.026202549975887224,0.026202549975887224,0.026202549975887224
14,2,2013,166601,166601,166601,0.055333506927607204,0.055333506927607204,0.055333506927607204
15,6,2013,1448407,1448407,1448407,0.4810621711063845,0.4810621711063845,0.4810621711063845
16,11,2014,1357714,1357714,1357714,0.4378890591432789,0.4378890591432789,0.4378890591432789
17,16,2014,81048,81048,81048,0.026139549614605483,0.026139549614605483,0.026139549614605483
18,2,2014,169720,169720,169720,0.054737986879267134,0.054737986879267134,0.054737986879267134
19,6,2014,1492107,1492107,1492107,0.4812334043628485,0.4812334043628485,0.4812334043628485
20,11,2015,1383736,1383736,1383736,0.43837571087280974,0.43837571087280974,0.43837571087280974
21,16,2015,79668,79668,79668,0.025239291406608633,0.025239291406608633,0.025239291406608633
22,2,2015,172030,172030,172030,0.05450011674296937,0.05450011674296937,0.05450011674296937
23,6,2015,1521073,1521073,1521073,0.4818848809776123,0.4818848809776123,0.4818848809776123
24,11,2016,1410240,1410240,1410240,0.43959072029176377,0.43959072029176377,0.43959072029176377
25,16,2016,75968,75968,75968,0.02368024438331398,0.02368024438331398,0.02368024438331398
26,2,2016,174729,174729,174729,0.05446537253648995,0.05446537253648995,0.05446537253648995
27,6,2016,1547138,1547138,1547138,0.4822636627884323,0.4822636627884323,0.4822636627884323
28,11,2017,1436060,1436060,1436060,0.44115293389771515,0.44115293389771515,0.44115293389771515
29,16,2017,74197,74197,74197,0.02279307566286142,0.02279307566286142,0.02279307566286142
30,2,2017,176220,176220,176220,0.05413420749234389,0.05413420749234389,0.05413420749234389
31,6,2017,1568766,1568766,1568766,0.48191978294707954,0.48191978294707954,0.48191978294707954
32,11,2018,1461395,1461395,1461395,0.4416945484659721,0.4416945484659721,0.4416945484659721
33,16,2018,75069,75069,75069,0.0226889841957801,0.0226889841957801,0.0226889841957801
34,2,2018,178380,178380,178380,0.05391387924234044,0.05391387924234044,0.05391387924234044
35,6,2018,1593766,1593766,1593766,0.4817025880959073,0.4817025880959073,0.4817025880959073
36,11,2019,1491074,1491074,1491074,0.4419180722777301,0.4419180722777301,0.4419180722777301
37,16,2019,76710,76710,76710,0.02273497849498058,0.02273497849498058,0.02273497849498058
38,2,2019,181234,181234,181234,0.05371335018327872,0.05371335018327872,0.05371335018327872
39,6,2019,1625078,1625078,1625078,0.4816335990440106,0.4816335990440106,0.4816335990440106
40,11,2020,1519055,1508510,1515555,0.44174627408215195,0.44194477850905783,0.4418656520598268
41,16,2020,78380,77345,77865,0.022793166121410396,0.02265959051897772,0.022701828041633867
42,2,2020,183850,182860,183420,0.05346419483824064,0.05357208251729608,0.05347677774862241
43,6,2020,1657465,1644630,1653060,0.48199636495819703,0.48182354845466835,0.48195574214991693
44,11,2021,1539095,1521205,1530945,0.4421174943051083,0.44268496921847966,0.4424191457911597
45,16,2021,76620,73295,75045,0.022009715068697772,0.021329534690504217,0.02168683054969158
46,2,2021,185405,183950,184620,0.05325908669161982,0.053531180930735396,0.05335229070669678
47,6,2021,1680070,1657865,1669785,0.4826137039345741,0.4824543151602807,0.48254173295245195
48,11,2022,1561295,1531315,1546280,0.44238405904895484,0.44333063606741524,0.44286728989093577
49,16,2022,75595,70285,73105,0.021419413335600088,0.020348193386728584,0.020937872330675466
50,2,2022,187225,184810,185875,0.053049138987469095,0.05350429849614156,0.05323612638621575
51,6,2022,1705160,1667705,1686260,0.483147388627976,0.48281687204971463,0.48295871139217306
52,11,2023,1588255,1548480,1567775,0.4424453717838717,0.44365685700082946,0.4430244715722844
53,16,2023,75895,69450,73040,0.0211423175066579,0.019898202572011008,0.020639764892053804
54,2,2023,189430,185995,187515,0.052770132489442075,0.053289649926294994,0.0529883011190234
55,6,2023,1736140,1686340,1710470,0.4836421782200283,0.48315529050086453,0.4833474624166384
56,11,2024,1619275,1567905,1592210,0.44252279876147455,0.443958206504042,0.4432242538627383
57,16,2024,76335,69160,73000,0.0208611741942889,0.01958291450172016,0.020321044668718258
58,2,2024,191950,187400,189340,0.052456964519470156,0.05306301587076862,0.052706665720207053
59,6,2024,1771630,1707185,1737785,0.4841590625247664,0.4833958631234692,0.4837480357483364
60,11,2025,1652995,1588545,1618340,0.44243863922271887,0.44414574613532853,0.44327516454981963
61,16,2025,77800,69435,73820,0.020823853751237922,0.019413526140528933,0.020219838011213766
62,2,2025,195065,189075,191625,0.052210861593640426,0.052864008857499936,0.05248748928337629
63,6,2025,1810240,1729575,1767085,0.48452664543240276,0.4835767188666426,0.4840175081555903
64,11,2026,1689370,1609510,1645660,0.44219367976903123,0.4442926212549705,0.44321632536537214
65,16,2026,80295,69970,75250,0.02101726768976267,0.019314670122714542,0.020266658048287166
66,2,2026,198405,190735,194005,0.05193263585512625,0.052650901898756014,0.05225027235425849
67,6,2026,1852360,1752420,1798080,0.4848564166860798,0.48374180672355893,0.4842667442320822
68,11,2027,1729145,1631065,1674735,0.44193874460561744,0.44443369659549015,0.44316589596522915
69,16,2027,83195,70540,76865,0.021263164082517282,0.01922078700594144,0.02033990248807563
70,2,2027,202070,192470,196425,0.05164550232771521,0.05244435603960234,0.051977692658820726
71,6,2027,1898225,1775910,1831000,0.4851525889841501,0.483901160358966,0.4845165088878745
72,11,2028,1770025,1652465,1704115,0.441754714791461,0.44459645795077724,0.44315214903886163
73,16,2028,86125,71125,78465,0.021494682171954962,0.019136213518440047,0.020404687109927603
74,2,2028,205740,194150,198940,0.05134764481925125,0.05223614558320049,0.051734001830739784
75,6,2028,1944915,1799035,1863920,0.48540295821733276,0.48403118294758224,0.484709162020471
76,11,2029,1812590,1673920,1734035,0.4417794112987548,0.44484543274181654,0.4432718116516271
77,16,2029,88680,71425,79785,0.021613822317222083,0.0189812446434622,0.020395460006646386
78,2,2029,209495,195825,201410,0.05105985234941859,0.05204063328394799,0.05148648994094941
79,6,2029,1992165,1821755,1896670,0.48554691403460454,0.48413268933077325,0.4848462384007771
80,11,2030,1856320,1695135,1764230,0.44185207885795214,0.4451153465912,0.4434309642360736
81,16,2030,90815,71545,80805,0.021616314289284674,0.018786573029208532,0.020309959055846417
82,2,2030,213320,197415,203845,0.05077566662104505,0.05183802242730033,0.05123548794924835
83,6,2030,2040770,1844210,1929710,0.48575594023171814,0.4842600579522911,0.48502358875883167
84,11,2031,1901015,1716165,1794550,0.44190638911166125,0.4453753925206965,0.44356971599475986
85,16,2031,92985,71660,81860,0.021615119076676313,0.01859704668725508,0.02023382850928146
86,2,2031,217200,199015,206295,0.050489905505770774,0.05164793813095269,0.050991175816298785
87,6,2031,2090650,1866460,1962995,0.48598858630589165,0.4843796226610957,0.4852052796796599
88,11,2032,1946875,1736985,1825115,0.441951795331627,0.4456350097170822,0.4436993196633932
89,16,2032,95205,71715,82870,0.021612081245353475,0.018398958380101468,0.020146326461897138
90,2,2032,221205,200540,208790,0.05021480417917563,0.051449865628467525,0.05075843492191992
91,6,2032,2141890,1888535,1996630,0.4862213192438439,0.48451616627434885,0.4853959189527897
92,11,2033,1993325,1757650,1855785,0.4419848157625157,0.44589073501636906,0.44382807800895174
93,16,2033,97470,71765,83935,0.021612260916996678,0.018205756890421716,0.02007382844870573
94,2,2033,225215,202095,211205,0.049937471451948365,0.051268618947533984,0.05051162134400302
95,6,2033,2193930,1910375,2030390,0.4864654518685393,0.4846348891456752,0.4855864721983395
96,11,2034,2040500,1778235,1886585,0.44200295246275034,0.4461380787989483,0.4439399572669685
97,16,2034,99820,71800,84975,0.021622511499549982,0.01801376874134436,0.019995811409907662
98,2,2034,229255,203605,213640,0.04966007687667132,0.05108208056520081,0.05027249367005205
99,6,2034,2246910,1932200,2064440,0.48671445916102835,0.48476607189450655,0.48579173765307176
100,11,2035,2088440,1798730,1917560,0.4420053672866419,0.4463770777393402,0.44404820348465623
101,16,2035,102260,71860,86070,0.021642694479483252,0.017832947027263117,0.019931177576672624
102,2,2035,233400,205070,216105,0.04939766175935254,0.05089065470193219,0.05004330347631972
103,6,2035,2300820,1953960,2098625,0.48695427647452233,0.4848993205314645,0.48597731546235146
104,11,2036,2137090,1819140,1948755,0.44199773736471243,0.4466218687931335,0.44413891968826597
105,16,2036,104730,71880,87180,0.02166049302285179,0.01764744875537366,0.01986911182699879
106,2,2036,237585,206600,218595,0.049137861499419865,0.050722911976352224,0.049819780911020885
107,6,2036,2355665,1975490,2133185,0.48720390811301595,0.4850077704751406,0.48617218757371433
108,11,2037,2186435,1839480,1980125,0.4419835168500486,0.44687216450516176,0.4442346801992648
109,16,2037,107290,71895,88315,0.021688461592886007,0.017465737201327877,0.019813186431057672
110,2,2037,241835,208045,221090,0.048886467604768266,0.050541196133948925,0.04960083098049641
111,6,2037,2411310,1996925,2167855,0.4874415539522971,0.48512090215956144,0.4863513023891811
112,11,2038,2236485,1859780,2011650,0.44197255661051316,0.4471216146365505,0.4443185470110955
113,16,2038,109855,71930,89520,0.021709466062346906,0.017293151738811623,0.019772523216480636
114,2,2038,246155,209540,223605,0.04864497399824316,0.0503768527088918,0.04938823786663486
115,6,2038,2467740,2018200,2202720,0.4876730033288968,0.4852083809157461,0.48652069190578895
116,11,2039,2287330,1880035,2043405,0.4419551423249631,0.4473749336683824,0.4444068681288807
117,16,2039,112555,71950,90715,0.02174774127230711,0.017121291080985254,0.019729015560944314
118,2,2039,250525,211040,226140,0.048406138174623414,0.05021928102475508,0.04918171833712117
119,6,2039,2525070,2039345,2237790,0.4878909782281064,0.4852844942258773,0.4866823979730538
120,11,2040,2338900,1900325,2075415,0.44194228618072984,0.44764508287084587,0.44450286673791567
121,16,2040,115250,71935,91935,0.021776838891072348,0.01694517992254709,0.01969021668126629
122,2,2040,255020,212515,228700,0.04818680654231037,0.05006053953207888,0.04898191716980041
123,6,2040,2583150,2060385,2273020,0.4880940683858875,0.48534919767452817,0.4868249994110176
124,11,2041,2391035,1920545,2107565,0.44193026993208495,0.4479102288125118,0.4446039507881325
125,16,2041,118030,71945,93160,0.02181525145390343,0.016779040018284477,0.0196526816754987
126,2,2041,259525,214015,231255,0.04796749244746495,0.049912658968839424,0.048784681202956766
127,6,2041,2641845,2081285,2308340,0.4882869861665467,0.4853980722003643,0.4869586863334121
128,11,2042,2443730,1940875,2139925,0.44192333844506815,0.44818624134339835,0.44470825388743707
129,16,2042,120905,71970,94395,0.02186442087902549,0.01661928964486862,0.019616685456595263
130,2,2042,264110,215500,233880,0.0477615665055988,0.0497631918642377,0.04860374378503629
131,6,2042,2701015,2102165,2343775,0.4884506741703076,0.48543127714749534,0.48707131687093136
132,11,2043,2496965,1961245,2172405,0.44193562374946127,0.4484721609267419,0.4448276921186805
133,16,2043,123805,71970,95680,0.021912137293995732,0.01645716951319066,0.019591703012060528
134,2,2043,268750,217035,236470,0.047565824463966344,0.04962875900090781,0.048420255134426764
135,6,2043,2760545,2122920,2379145,0.4885864144925766,0.4854419105591596,0.4871603497348322
136,11,2044,2550920,1981715,2205185,0.44196724038158336,0.4487696124332948,0.4449584185426161
137,16,2044,126760,71995,96915,0.021962181248635592,0.01630364015367248,0.019555341222191172
138,2,2044,273480,218560,239185,0.047382591731436274,0.04949404253054597,0.048262335966876076
139,6,2044,2820580,2143615,2414650,0.4886879866383448,0.48543270488248674,0.4872239042683167
140,11,2045,2605570,2002250,2238260,0.4420164774158635,0.4490855118475812,0.44511307502008546
141,16,2045,129725,72005,98215,0.02200692652002168,0.016150032353894412,0.019531591800370687
142,2,2045,278330,220105,241860,0.047216711183793676,0.04936744491707422,0.048097650998703396
143,6,2045,2881110,2164145,2450185,0.4887598848803212,0.48539701088145015,0.4872576821808405
144,11,2046,2660870,2022825,2271525,0.44207694940372355,0.4494108054547151,0.44526958949006756
145,16,2046,132765,71990,99500,0.02205757747939033,0.01599401029979605,0.019504220360445832
146,2,2046,283230,221645,244625,0.04705583300936033,0.04924284501872892,0.047951958850995596
147,6,2046,2942155,2184600,2485810,0.4888096401075258,0.4853523392267599,0.487274231298491
